case,time_ms,W_N,P_N
a45_mu000,2.58003,2.560500,2.242000
a45_mu000,2.59002,1.992800,2.030100
a45_mu000,2.60001,2.274400,2.381900
a45_mu000,2.61001,2.145800,2.005000
a45_mu000,2.62005,2.323700,2.244600
a45_mu000,2.63004,2.117500,1.999200
a45_mu000,2.64003,2.211000,2.339100
a45_mu000,2.65002,1.857000,2.094500
a45_mu000,2.66001,2.342300,2.224500
a45_mu000,2.67000,2.095100,2.068000
a45_mu000,2.68005,2.041000,2.277400
a45_mu000,2.69003,2.131800,2.188800
a45_mu000,2.70003,1.973800,2.241600
a45_mu000,2.71002,2.353000,2.130000
a45_mu000,2.72001,2.152600,2.220800
a45_mu000,2.73005,2.219900,2.321800
a45_mu000,2.74003,2.208300,2.339800
a45_mu000,2.75002,2.463200,2.334700
a45_mu000,2.76001,2.240600,2.235800
a45_mu000,2.77005,2.709600,2.403400
a45_mu000,2.78004,2.151800,2.403700
a45_mu000,2.79002,2.710000,2.508900
a45_mu000,2.80001,2.377400,2.326500
a45_mu000,2.81005,2.690400,2.452800
a45_mu000,2.82003,2.490000,2.416700
a45_mu000,2.83002,2.544800,2.553100
a45_mu000,2.84001,2.360100,2.417300
a45_mu000,2.85005,2.703000,2.449100
a45_mu000,2.86003,2.377600,2.434000
a45_mu000,2.87001,2.501300,2.546200
a45_mu000,2.88005,2.374200,2.510300
a45_mu000,2.89004,2.328700,2.419900
a45_mu000,2.90002,2.631300,2.427000
a45_mu000,2.91005,2.467600,2.616300
a45_mu000,2.92003,2.568900,2.595300
a45_mu000,2.93001,2.736600,2.622900
a45_mu000,2.94004,2.513500,2.535800
a45_mu000,2.95002,2.673300,2.601100
a45_mu000,2.96005,2.875900,2.651200
a45_mu000,2.97003,2.415000,2.639000
a45_mu000,2.98001,2.918700,2.617200
a45_mu000,2.99004,2.326700,2.570000
a45_mu000,3.00001,2.850500,2.640600
a45_mu000,3.01004,2.542500,2.656900
a45_mu000,3.02002,2.639000,2.668900
a45_mu000,3.03005,2.421500,2.574900
a45_mu000,3.04002,2.960500,2.691900
a45_mu000,3.05005,2.293500,2.734200
a45_mu000,3.06003,3.034100,2.722200
a45_mu000,3.07000,2.326900,2.675200
a45_mu000,3.08003,2.940000,2.732900
a45_mu000,3.09000,2.708200,2.813700
a45_mu000,3.10003,2.853200,2.804500
a45_mu000,3.11001,2.777800,2.811500
a45_mu000,3.12003,3.043500,2.717200
a45_mu000,3.13001,2.631700,2.885200
a45_mu000,3.14003,3.096600,2.768900
a45_mu000,3.15001,2.782500,2.953600
a45_mu000,3.16003,2.900400,2.712400
a45_mu000,3.17001,2.970500,2.991900
a45_mu000,3.18003,2.626400,2.745600
a45_mu000,3.19000,3.055600,3.052700
a45_mu000,3.20003,2.753900,2.630600
a45_mu000,3.21000,2.793600,3.037200
a45_mu000,3.22003,2.741300,2.688200
a45_mu000,3.23005,2.924500,3.138500
a45_mu000,3.24002,2.650000,2.663200
a45_mu000,3.25004,3.176300,3.119500
a45_mu000,3.26002,2.493000,2.664300
a45_mu000,3.27003,3.233400,3.206000
a45_mu000,3.28001,2.749700,2.719600
a45_mu000,3.29002,3.072200,3.210700
a45_mu000,3.30005,2.984000,2.763900
a45_mu000,3.31002,3.147500,3.238600
a45_mu000,3.32004,2.932500,2.829300
a45_mu000,3.33001,3.318900,3.233400
a45_mu000,3.34003,2.932200,2.902900
a45_mu000,3.35005,3.309800,3.230600
a45_mu000,3.36002,3.069400,2.967000
a45_mu000,3.37004,2.919000,3.193100
a45_mu000,3.38000,3.310800,3.002400
a45_mu000,3.39002,2.944100,3.140800
a45_mu000,3.40005,3.201200,3.008300
a45_mu000,3.41001,2.914700,3.107900
a45_mu000,3.42003,3.389500,3.317400
a45_mu000,3.43005,3.036900,2.980600
a45_mu000,3.44001,3.404500,3.180400
a45_mu000,3.45003,2.605200,2.947400
a45_mu000,3.46004,3.432200,3.296400
a45_mu000,3.47001,2.453500,2.943100
a45_mu000,3.48002,3.479000,3.199800
a45_mu000,3.49004,2.690500,2.873400
a45_mu000,3.50000,3.167000,3.331500
a45_mu000,3.51002,2.984300,3.105000
a45_mu000,3.52003,3.428200,3.333100
a45_mu000,3.53000,3.027700,3.057700
a45_mu000,3.54001,3.735200,3.360000
a45_mu000,3.55003,3.048000,3.224800
a45_mu000,3.56004,3.637300,3.409000
a45_mu000,3.57001,3.401600,3.185400
a45_mu000,3.58002,3.370800,3.298700
a45_mu000,3.59004,3.481000,3.278700
a45_mu000,3.60000,3.157400,3.367800
a45_mu000,3.61002,3.208100,3.312000
a45_mu000,3.62004,3.306200,3.173800
a45_mu000,3.63005,3.158800,3.244300
a45_mu000,3.64002,2.913400,3.220800
a45_mu000,3.65003,3.306700,3.418900
a45_mu000,3.66005,2.757600,3.133800
a45_mu000,3.67000,3.667300,3.333000
a45_mu000,3.68002,2.847500,3.165600
a45_mu000,3.69003,3.514400,3.536600
a45_mu000,3.70005,3.187500,3.263300
a45_mu000,3.71001,3.739400,3.515700
a45_mu000,3.72002,3.260100,3.242000
a45_mu000,3.73003,3.958200,3.586900
a45_mu000,3.74005,3.065000,3.360600
a45_mu000,3.75000,4.061300,3.574600
a45_mu000,3.76002,3.225900,3.280800
a45_mu000,3.77003,3.743700,3.502100
a45_mu000,3.78004,3.282200,3.398900
a45_mu000,3.79005,3.398300,3.525800
a45_mu000,3.80002,3.149300,3.350200
a45_mu000,3.81003,3.545300,3.320600
a45_mu000,3.82004,3.005300,3.375300
a45_mu000,3.83000,3.357100,3.352400
a45_mu000,3.84001,3.152500,3.515900
a45_mu000,3.85002,3.240600,3.256900
a45_mu000,3.86003,3.664900,3.510600
a45_mu000,3.87004,3.121500,3.277600
a45_mu000,3.88004,3.680300,3.730000
a45_mu000,3.89001,3.458700,3.313500
a45_mu000,3.90001,3.860300,3.709400
a45_mu000,3.91003,3.524500,3.269700
a45_mu000,3.92004,3.922900,3.846500
a45_mu000,3.93000,3.228100,3.374400
a45_mu000,3.94000,4.175100,3.822300
a45_mu000,3.95003,3.155400,3.220300
a45_mu000,3.96002,3.931800,3.788200
a45_mu000,3.97004,3.168300,3.324700
a45_mu000,3.98004,3.597300,3.797700
a45_mu000,3.99001,3.207000,3.213400
a45_mu000,4.00002,3.625400,3.616000
a45_mu000,4.01004,3.007000,3.306400
a45_mu000,4.02004,3.628200,3.705300
a45_mu000,4.03001,3.117200,3.414000
a45_mu000,4.04001,3.664200,3.574800
a45_mu000,4.05002,3.622100,3.447400
a45_mu000,4.06003,3.389300,3.663600
a45_mu000,4.07004,3.797800,3.675000
a45_mu000,4.08005,3.597600,3.605200
a45_mu000,4.09001,3.949900,3.643300
a45_mu000,4.10001,3.688900,3.592600
a45_mu000,4.11002,3.881300,3.835000
a45_mu000,4.12004,3.478500,3.570900
a45_mu000,4.13004,4.201800,3.731400
a45_mu000,4.14000,3.177600,3.425000
a45_mu000,4.15000,4.028800,3.776500
a45_mu000,4.16001,3.081500,3.467600
a45_mu000,4.17001,3.771800,3.735300
a45_mu000,4.18003,3.252300,3.342900
a45_mu000,4.19003,3.675400,3.650800
a45_mu000,4.20004,3.092000,3.451300
a45_mu000,4.21005,3.766800,3.724000
a45_mu000,4.22001,3.125000,3.503200
a45_mu000,4.23001,3.911900,3.633600
a45_mu000,4.24002,3.513900,3.587300
a45_mu000,4.25002,3.634500,3.724900
a45_mu000,4.26003,3.856100,3.734100
a45_mu000,4.27003,3.730200,3.654600
a45_mu000,4.28004,4.034100,3.740900
a45_mu000,4.29000,3.745600,3.648900
a45_mu000,4.30000,3.849500,3.890000
a45_mu000,4.31002,3.658100,3.614300
a45_mu000,4.32003,4.134400,3.791500
a45_mu000,4.33004,3.272100,3.464500
a45_mu000,4.34004,4.539200,4.065000
a45_mu000,4.35005,3.009700,3.378200
a45_mu000,4.36004,4.167500,4.029500
a45_mu000,4.37005,3.155400,3.335400
a45_mu000,4.38005,3.670100,3.936200
a45_mu000,4.39000,2.834300,3.295600
a45_mu000,4.40005,3.919800,3.863200
a45_mu000,4.41001,2.803500,3.308400
a45_mu000,4.42000,4.167400,3.862300
a45_mu000,4.43001,3.098500,3.472400
a45_mu000,4.44001,4.062500,3.943700
a45_mu000,4.45001,3.755100,3.572200
a45_mu000,4.46001,4.107200,3.877200
a45_mu000,4.47002,3.872300,3.678000
a45_mu000,4.48001,4.239300,3.905400
a45_mu000,4.49002,3.643000,3.769200
a45_mu000,4.50002,4.154600,3.745800
a45_mu000,4.51003,3.754400,3.682600
a45_mu000,4.52004,3.441400,3.591100
a45_mu000,4.53004,3.794400,3.777500
a45_mu000,4.54005,3.054900,3.526100
a45_mu000,4.55004,3.734800,3.743700
a45_mu000,4.56005,3.233700,3.399400
a45_mu000,4.57005,3.529500,3.879400
a45_mu000,4.58000,3.270500,3.461700
a45_mu000,4.59000,4.069200,3.925400
a45_mu000,4.60001,3.295600,3.385400
a45_mu000,4.61001,4.540600,4.083500
a45_mu000,4.62002,3.299100,3.580800
a45_mu000,4.63002,4.557600,4.185600
a45_mu000,4.64003,3.695300,3.435200
a45_mu000,4.65003,4.331700,4.116500
a45_mu000,4.66004,3.486700,3.480400
a45_mu000,4.67004,4.212100,4.175200
a45_mu000,4.68005,3.031400,3.374900
a45_mu000,4.69004,4.235300,3.964800
a45_mu000,4.70001,2.882900,3.298700
a45_mu000,4.71001,3.768700,3.983900
a45_mu000,4.72002,3.100800,3.354800
a45_mu000,4.73002,3.635500,3.900400
a45_mu000,4.74003,3.442400,3.388500
a45_mu000,4.75003,3.933900,3.972200
a45_mu000,4.76004,3.397700,3.575300
a45_mu000,4.77003,4.257400,3.943400
a45_mu000,4.78004,3.821600,3.619300
a45_mu000,4.79004,4.153700,3.944000
a45_mu000,4.80004,4.129800,3.769000
a45_mu000,4.81004,3.728300,3.926700
a45_mu000,4.82005,4.143100,3.765600
a45_mu000,4.83001,3.761200,3.717100
a45_mu000,4.84001,3.684400,3.707100
a45_mu000,4.85002,3.448400,3.613500
a45_mu000,4.86002,3.598500,3.752800
a45_mu000,4.87003,3.092100,3.517500
a45_mu000,4.88003,3.934800,3.737000
a45_mu000,4.89004,2.902100,3.442500
a45_mu000,4.90003,4.019000,3.849800
a45_mu000,4.91004,3.271300,3.511900
a45_mu000,4.92005,4.144500,3.934700
a45_mu000,4.93001,3.661200,3.529400
a45_mu000,4.94001,4.382000,4.061500
a45_mu000,4.95003,3.459800,3.627300
a45_mu000,4.96003,4.696000,4.100300
a45_mu000,4.97004,3.415300,3.552200
a45_mu000,4.98004,4.497200,4.012700
a45_mu000,4.99005,3.328100,3.551000
a45_mu000,5.00004,3.923000,4.017200
a45_mu000,5.01001,3.302200,3.472100
a45_mu000,5.02001,3.836700,3.800700
a45_mu000,5.03002,2.948000,3.404200
a45_mu000,5.04002,3.864400,3.833400
a45_mu000,5.05003,3.039500,3.552800
a45_mu000,5.06003,3.910200,3.777800
a45_mu000,5.07004,3.564500,3.573200
a45_mu000,5.08004,3.750200,3.835800
a45_mu000,5.09004,3.946500,3.792600
a45_mu000,5.10004,3.995000,3.853200
a45_mu000,5.11005,4.024100,3.812000
a45_mu000,5.12000,4.174500,3.792400
a45_mu000,5.13001,3.962500,3.930400
a45_mu000,5.14003,3.763300,3.762100
a45_mu000,5.15003,4.129500,3.845300
a45_mu000,5.16005,3.262200,3.530700
a45_mu000,5.17004,4.025200,3.820000
a45_mu000,5.18000,3.034600,3.515000
a45_mu000,5.19000,3.711600,3.829100
a45_mu000,5.20001,3.183500,3.375700
a45_mu000,5.21001,3.844500,3.806900
a45_mu000,5.22003,3.037900,3.444000
a45_mu000,5.23003,4.246800,3.941900
a45_mu000,5.24005,3.114600,3.526800
a45_mu000,5.25004,4.607800,4.000900
a45_mu000,5.26001,3.454600,3.592600
a45_mu000,5.27001,4.444000,4.065500
a45_mu000,5.28002,3.693500,3.648300
a45_mu000,5.29001,4.413500,4.012200
a45_mu000,5.30003,3.462700,3.605600
a45_mu000,5.31002,4.340900,3.925400
a45_mu000,5.32004,3.093400,3.603100
a45_mu000,5.33004,4.033400,3.818900
a45_mu000,5.34005,3.178400,3.554100
a45_mu000,5.35000,3.587700,3.665400
a45_mu000,5.36002,3.349500,3.558900
a45_mu000,5.37002,3.489700,3.671100
a45_mu000,5.38003,3.423100,3.724200
a45_mu000,5.39003,3.853300,3.661200
a45_mu000,5.40004,3.674400,3.798500
a45_mu000,5.41004,3.901000,3.683600
a45_mu000,5.42004,4.140800,4.003100
a45_mu000,5.43005,3.765200,3.715000
a45_mu000,5.44000,4.468500,4.013000
a45_mu000,5.45002,3.610000,3.587700
a45_mu000,5.46003,4.201800,4.041400
a45_mu000,5.47005,3.552900,3.534400
a45_mu000,5.48005,3.978200,3.987200
a45_mu000,5.49001,3.195600,3.328200
a45_mu020,0.00000,0.000000,0.000000
a45_mu020,0.01005,0.000000,0.000000
a45_mu020,0.02004,0.000000,0.000000
a45_mu020,0.03003,0.000000,0.000000
a45_mu020,0.04002,0.000000,0.000000
a45_mu020,0.05002,0.000000,0.000000
a45_mu020,0.06001,0.000000,0.000000
a45_mu020,0.07000,0.000000,0.000000
a45_mu020,0.08005,0.000000,0.000000
a45_mu020,0.09004,0.000000,0.000000
a45_mu020,0.10004,0.000000,0.000000
a45_mu020,0.11003,0.000000,0.000000
a45_mu020,0.12002,0.000000,0.000000
a45_mu020,0.13002,0.000000,0.000000
a45_mu020,0.14001,0.000000,0.000000
a45_mu020,0.15000,0.000000,0.000000
a45_mu020,0.16005,0.000000,0.000000
a45_mu020,0.17004,0.000000,0.000000
a45_mu020,0.18003,0.000000,0.000000
a45_mu020,0.19003,0.000000,0.000000
a45_mu020,0.20002,0.000000,0.000000
a45_mu020,0.21001,0.000000,0.000000
a45_mu020,0.22001,0.000000,0.000000
a45_mu020,0.23005,0.000000,0.000000
a45_mu020,0.24004,0.000000,0.000000
a45_mu020,0.25004,0.000000,0.000000
a45_mu020,0.26003,0.000000,0.000000
a45_mu020,0.27002,0.000000,0.000000
a45_mu020,0.28002,0.000000,0.000000
a45_mu020,0.29001,0.000000,0.000000
a45_mu020,0.30000,0.000000,0.000000
a45_mu020,0.31005,0.000000,0.000000
a45_mu020,0.32004,0.000000,0.000000
a45_mu020,0.33003,0.000000,0.000000
a45_mu020,0.34003,0.000000,0.000000
a45_mu020,0.35002,0.000000,0.000000
a45_mu020,0.36001,0.000000,0.000000
a45_mu020,0.37001,0.000000,0.000000
a45_mu020,0.38005,0.000000,0.000000
a45_mu020,0.39004,0.000000,0.000000
a45_mu020,0.40004,0.000000,0.000000
a45_mu020,0.41003,0.000000,0.000000
a45_mu020,0.42002,0.000000,0.000000
a45_mu020,0.43002,0.000000,0.000000
a45_mu020,0.44001,0.000000,0.000000
a45_mu020,0.45000,0.000000,0.000000
a45_mu020,0.46005,0.000000,0.000000
a45_mu020,0.47004,0.000000,0.000000
a45_mu020,0.48003,0.000000,0.000000
a45_mu020,0.49003,0.000000,0.000000
a45_mu020,0.50002,0.000000,0.000000
a45_mu020,0.51001,0.000000,0.000000
a45_mu020,0.52001,0.000000,0.000000
a45_mu020,0.53005,0.000000,0.000000
a45_mu020,0.54004,0.000000,0.000000
a45_mu020,0.55004,0.000000,0.000000
a45_mu020,0.56003,0.000000,0.000000
a45_mu020,0.57002,0.000000,0.000000
a45_mu020,0.58002,0.000000,0.000000
a45_mu020,0.59001,0.000000,0.000000
a45_mu020,0.60000,0.000000,0.000000
a45_mu020,0.61005,0.000000,0.000000
a45_mu020,0.62004,0.000000,0.000000
a45_mu020,0.63004,0.000000,0.000000
a45_mu020,0.64003,0.066345,0.021953
a45_mu020,0.65002,0.077592,0.002837
a45_mu020,0.66001,0.101330,0.060538
a45_mu020,0.67001,0.020831,0.011527
a45_mu020,0.68005,0.080795,0.005498
a45_mu020,0.69004,0.171070,0.041617
a45_mu020,0.70004,0.026456,0.014569
a45_mu020,0.71003,0.092712,0.060591
a45_mu020,0.72002,0.198390,0.014487
a45_mu020,0.73001,0.101200,0.025852
a45_mu020,0.74000,0.112740,0.000636
a45_mu020,0.75005,0.002843,0.028546
a45_mu020,0.76004,0.002844,0.056566
a45_mu020,0.77003,0.137560,0.058955
a45_mu020,0.78003,0.263510,0.087527
a45_mu020,0.79002,0.214990,0.059635
a45_mu020,0.80001,0.449640,0.104550
a45_mu020,0.81000,0.227940,0.084688
a45_mu020,0.82004,0.430620,0.130520
a45_mu020,0.83004,0.300280,0.091974
a45_mu020,0.84003,0.371790,0.125220
a45_mu020,0.85002,0.318040,0.098030
a45_mu020,0.86001,0.283560,0.127190
a45_mu020,0.87005,0.184100,0.102390
a45_mu020,0.88004,0.263540,0.129970
a45_mu020,0.89003,0.043211,0.105150
a45_mu020,0.90002,0.188930,0.119060
a45_mu020,0.91002,0.016645,0.102850
a45_mu020,0.92000,0.044130,0.114380
a45_mu020,0.93005,0.037861,0.122150
a45_mu020,0.94004,0.072095,0.121440
a45_mu020,0.95003,0.095506,0.131220
a45_mu020,0.96002,0.029032,0.120320
a45_mu020,0.97001,0.089614,0.154460
a45_mu020,0.98005,0.093545,0.157560
a45_mu020,0.99004,0.134840,0.194940
a45_mu020,1.00003,0.239300,0.162110
a45_mu020,1.01002,0.373160,0.203520
a45_mu020,1.02000,0.252010,0.194970
a45_mu020,1.03005,0.499560,0.252100
a45_mu020,1.04003,0.336300,0.220900
a45_mu020,1.05002,0.628950,0.257410
a45_mu020,1.06001,0.509030,0.228820
a45_mu020,1.07005,0.591900,0.286290
a45_mu020,1.08004,0.567890,0.266350
a45_mu020,1.09003,0.601740,0.295900
a45_mu020,1.10001,0.557790,0.262000
a45_mu020,1.11000,0.649290,0.296010
a45_mu020,1.12004,0.461180,0.281780
a45_mu020,1.13003,0.595050,0.308490
a45_mu020,1.14002,0.406380,0.288400
a45_mu020,1.15000,0.459120,0.302830
a45_mu020,1.16004,0.440920,0.302620
a45_mu020,1.17003,0.342340,0.304340
a45_mu020,1.18001,0.407870,0.307600
a45_mu020,1.19005,0.291490,0.311650
a45_mu020,1.20004,0.338040,0.330240
a45_mu020,1.21002,0.358540,0.320670
a45_mu020,1.22001,0.354400,0.340190
a45_mu020,1.23005,0.386680,0.331560
a45_mu020,1.24003,0.433440,0.380020
a45_mu020,1.25002,0.365750,0.370350
a45_mu020,1.26005,0.614270,0.402700
a45_mu020,1.27004,0.479970,0.374000
a45_mu020,1.28002,0.725380,0.432890
a45_mu020,1.29000,0.592130,0.427780
a45_mu020,1.30004,0.746190,0.478210
a45_mu020,1.31002,0.788140,0.440780
a45_mu020,1.32001,0.890730,0.483550
a45_mu020,1.33004,0.834340,0.475520
a45_mu020,1.34002,0.952950,0.535170
a45_mu020,1.35001,0.818480,0.501810
a45_mu020,1.36004,1.071300,0.532030
a45_mu020,1.37002,0.879190,0.508420
a45_mu020,1.38001,0.997090,0.557340
a45_mu020,1.39004,0.899850,0.544280
a45_mu020,1.40002,0.913620,0.564900
a45_mu020,1.41000,0.920780,0.544280
a45_mu020,1.42004,0.885950,0.573120
a45_mu020,1.43002,0.830840,0.569020
a45_mu020,1.44005,0.881280,0.584070
a45_mu020,1.45003,0.749610,0.577610
a45_mu020,1.46001,0.834460,0.590640
a45_mu020,1.47004,0.778140,0.599700
a45_mu020,1.48002,0.781190,0.601270
a45_mu020,1.49000,0.847170,0.613040
a45_mu020,1.50003,0.708370,0.620690
a45_mu020,1.51001,0.864990,0.628020
a45_mu020,1.52004,1.108400,0.685460
a45_mu020,1.53002,0.930690,0.629570
a45_mu020,1.54004,1.207500,0.743540
a45_mu020,1.55002,0.954090,0.691510
a45_mu020,1.56005,1.244300,0.769330
a45_mu020,1.57002,1.269600,0.687980
a45_mu020,1.58005,1.234300,0.778310
a45_mu020,1.59002,1.232600,0.759690
a45_mu020,1.60005,1.171400,0.847640
a45_mu020,1.61002,1.220500,0.754960
a45_mu020,1.62005,1.357400,0.788970
a45_mu020,1.63002,1.179700,0.773570
a45_mu020,1.64005,1.201100,0.851950
a45_mu020,1.65002,1.156200,0.837390
a45_mu020,1.66005,1.110800,0.828910
a45_mu020,1.67002,1.362100,0.814110
a45_mu020,1.68004,1.110600,0.848170
a45_mu020,1.69001,1.268600,0.889270
a45_mu020,1.70004,1.142400,0.889830
a45_mu020,1.71001,1.309600,0.905330
a45_mu020,1.72003,1.395600,0.873010
a45_mu020,1.73005,1.426200,0.933530
a45_mu020,1.74002,1.321900,0.942270
a45_mu020,1.75004,1.558600,0.985280
a45_mu020,1.76001,1.405400,0.937890
a45_mu020,1.77003,1.730100,1.006000
a45_mu020,1.78000,1.492700,0.980500
a45_mu020,1.79002,1.625100,1.055600
a45_mu020,1.80004,1.606100,1.001100
a45_mu020,1.81001,1.595400,1.060200
a45_mu020,1.82003,1.616900,1.022900
a45_mu020,1.83005,1.660600,1.089300
a45_mu020,1.84002,1.550800,1.033900
a45_mu020,1.85003,1.674200,1.098900
a45_mu020,1.86005,1.465100,1.070000
a45_mu020,1.87002,1.627800,1.129900
a45_mu020,1.88004,1.681200,1.086400
a45_mu020,1.89005,1.584000,1.122800
a45_mu020,1.90002,1.680800,1.128800
a45_mu020,1.91003,1.556900,1.190800
a45_mu020,1.92005,1.780500,1.169400
a45_mu020,1.93001,1.836400,1.176200
a45_mu020,1.94003,1.789200,1.185000
a45_mu020,1.95004,1.807700,1.249300
a45_mu020,1.96000,1.892900,1.283100
a45_mu020,1.97002,1.887000,1.255600
a45_mu020,1.98003,2.151000,1.243900
a45_mu020,1.99005,1.887800,1.269900
a45_mu020,2.00001,2.086700,1.349200
a45_mu020,2.01002,1.928700,1.328100
a45_mu020,2.02003,1.998800,1.332500
a45_mu020,2.03005,2.567100,1.411700
a45_mu020,2.04001,2.079200,1.301400
a45_mu020,2.05002,2.252100,1.414000
a45_mu020,2.06003,2.001600,1.388600
a45_mu020,2.07004,1.937400,1.377900
a45_mu020,2.08005,1.979500,1.312300
a45_mu020,2.09001,1.884500,1.372400
a45_mu020,2.10002,1.765800,1.414600
a45_mu020,2.11003,1.985600,1.423700
a45_mu020,2.12003,1.796400,1.404800
a45_mu020,2.13004,2.089900,1.397900
a45_mu020,2.14005,2.228800,1.507200
a45_mu020,2.15001,2.115100,1.485000
a45_mu020,2.16001,2.550300,1.539700
a45_mu020,2.17002,2.289100,1.514500
a45_mu020,2.18003,2.740000,1.612300
a45_mu020,2.19003,2.621000,1.558800
a45_mu020,2.20004,2.600200,1.647500
a45_mu020,2.21005,2.557800,1.563600
a45_mu020,2.22005,2.626700,1.681800
a45_mu020,2.23000,2.318100,1.577600
a45_mu020,2.24001,2.616600,1.676000
a45_mu020,2.25001,2.044300,1.555800
a45_mu020,2.26002,2.485800,1.671100
a45_mu020,2.27002,2.154100,1.584300
a45_mu020,2.28002,2.250100,1.707900
a45_mu020,2.29003,2.317400,1.614700
a45_mu020,2.30003,2.434900,1.723100
a45_mu020,2.31003,2.410100,1.684800
a45_mu020,2.32003,2.699900,1.784600
a45_mu020,2.33003,2.488400,1.719600
a45_mu020,2.34003,3.018400,1.823900
a45_mu020,2.35004,2.841000,1.788200
a45_mu020,2.36004,2.898400,1.850400
a45_mu020,2.37004,3.018000,1.853500
a45_mu020,2.38004,2.884900,1.875600
a45_mu020,2.39004,3.068400,1.861000
a45_mu020,2.40004,2.902900,1.859800
a45_mu020,2.41004,2.751000,1.873700
a45_mu020,2.42004,2.825900,1.877300
a45_mu020,2.43003,2.671300,1.899100
a45_mu020,2.44003,2.637900,1.836200
a45_mu020,2.45003,2.793200,1.891600
a45_mu020,2.46003,2.425700,1.873700
a45_mu020,2.47002,3.021100,2.064200
a45_mu020,2.48002,2.676200,1.786700
a45_mu020,2.49001,2.937200,1.933000
a45_mu020,2.50001,2.622700,1.877000
a45_mu020,2.51005,2.870200,2.098500
a45_mu020,2.52005,2.778600,1.957500
a45_mu020,2.53004,3.371000,2.018400
a45_mu020,2.54003,2.975300,1.985500
a45_mu020,2.55002,3.238600,2.146500
a45_mu020,2.56001,3.236900,2.163200
a45_mu020,2.57001,3.350000,2.105000
a45_mu020,2.58005,3.550700,2.086900
a45_mu020,2.59004,3.163700,2.105200
a45_mu020,2.60003,3.255200,2.291100
a45_mu020,2.61002,3.118700,2.122100
a45_mu020,2.62001,3.236800,2.137500
a45_mu020,2.63000,3.104400,2.002200
a45_mu020,2.64004,3.222900,2.283300
a45_mu020,2.65003,2.763000,2.149500
a45_mu020,2.66002,3.425700,2.273200
a45_mu020,2.67001,3.020600,2.027900
a45_mu020,2.68005,3.657300,2.312500
a45_mu020,2.69004,3.136700,2.220600
a45_mu020,2.70002,3.574000,2.440300
a45_mu020,2.71001,3.502200,2.175300
a45_mu020,2.72005,3.938500,2.369800
a45_mu020,2.73004,3.425300,2.269000
a45_mu020,2.74002,3.829500,2.506500
a45_mu020,2.75001,3.255800,2.279500
a45_mu020,2.76004,3.891800,2.365600
a45_mu020,2.77003,3.378300,2.256600
a45_mu020,2.78001,3.517900,2.456400
a45_mu020,2.79000,3.289900,2.342400
a45_mu020,2.80004,3.448100,2.388700
a45_mu020,2.81002,3.378200,2.284600
a45_mu020,2.82000,3.658100,2.419200
a45_mu020,2.83004,3.339500,2.444100
a45_mu020,2.84002,3.726200,2.477000
a45_mu020,2.85005,3.672200,2.424500
a45_mu020,2.86003,3.866000,2.451500
a45_mu020,2.87001,4.012200,2.551600
a45_mu020,2.88005,3.770700,2.538100
a45_mu020,2.89002,3.994900,2.593200
a45_mu020,2.90001,3.918100,2.500200
a45_mu020,2.91004,3.410100,2.594100
a45_mu020,2.92002,3.973800,2.555300
a45_mu020,2.93005,3.893800,2.592900
a45_mu020,2.94003,4.040100,2.486000
a45_mu020,2.95000,4.140900,2.708100
a45_mu020,2.96003,4.062400,2.642700
a45_mu020,2.97001,3.948900,2.707100
a45_mu020,2.98004,4.192200,2.553800
a45_mu020,2.99001,3.802700,2.671300
a45_mu020,3.00004,4.096200,2.613600
a45_mu020,3.01002,3.688300,2.754100
a45_mu020,3.02004,3.674300,2.584100
a45_mu020,3.03002,3.992300,2.641800
a45_mu020,3.04005,3.859300,2.595800
a45_mu020,3.05002,3.993800,2.750700
a45_mu020,3.06005,4.007200,2.722300
a45_mu020,3.07002,4.056900,2.772400
a45_mu020,3.08005,4.464800,2.711800
a45_mu020,3.09002,4.350600,2.822300
a45_mu020,3.10004,4.177000,2.805600
a45_mu020,3.11001,4.464100,2.812500
a45_mu020,3.12004,4.145400,2.823100
a45_mu020,3.13001,4.414400,2.773700
a45_mu020,3.14004,4.104500,2.807100
a45_mu020,3.15001,4.004500,2.805400
a45_mu020,3.16004,4.125500,2.830200
a45_mu020,3.17001,4.095100,2.748500
a45_mu020,3.18003,4.017400,2.832400
a45_mu020,3.19005,4.373200,2.804600
a45_mu020,3.20002,4.012100,2.949900
a45_mu020,3.21005,4.510100,2.855500
a45_mu020,3.22002,4.394600,2.911400
a45_mu020,3.23004,4.577500,2.848600
a45_mu020,3.24001,4.611700,3.029100
a45_mu020,3.25003,4.480600,2.953400
a45_mu020,3.26005,4.475800,3.015400
a45_mu020,3.27002,4.732600,2.866200
a45_mu020,3.28004,4.273700,2.991000
a45_mu020,3.29000,4.482900,2.963600
a45_mu020,3.30002,4.176400,3.025400
a45_mu020,3.31004,4.340900,2.868200
a45_mu020,3.32001,4.434700,2.972300
a45_mu020,3.33003,4.266200,2.984300
a45_mu020,3.34004,4.379200,3.080000
a45_mu020,3.35001,4.619000,2.992500
a45_mu020,3.36003,4.482800,3.024900
a45_mu020,3.37005,4.822100,3.070700
a45_mu020,3.38001,4.672300,3.168000
a45_mu020,3.39003,4.747200,3.140000
a45_mu020,3.40005,4.930100,3.078900
a45_mu020,3.41002,4.643200,3.093100
a45_mu020,3.42003,4.752800,3.138600
