case,time_ms,travel_mm,W_N,P_N,W_raw_N,crest_lift_mm,tip_lift_mm,rotation_deg
extract_mu000,0.25652,0.001498,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.26101,0.001576,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.26551,0.001657,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.27000,0.001740,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.27452,0.001826,0.000000,-0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.27902,0.001915,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.28351,0.002006,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.28800,0.002100,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.29252,0.002197,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.29702,0.002297,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.30151,0.002399,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.30600,0.002504,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.31053,0.002613,-0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.31502,0.002725,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.31951,0.002839,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.32401,0.002956,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.32850,0.003077,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.33302,0.003201,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.33752,0.003327,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.34201,0.003457,0.000000,-0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.34650,0.003590,0.000000,-0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.35102,0.003727,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.35552,0.003867,0.000000,0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.36001,0.004010,0.000000,0.000000,0.000000,0.000000,0.000000,-0.00000
extract_mu000,0.36450,0.004156,0.000000,0.000000,0.000000,0.000000,0.000000,-0.00000
extract_mu000,0.36902,0.004306,0.000000,0.000000,0.000000,0.000000,0.000000,-0.00000
extract_mu000,0.37352,0.004459,0.000000,0.000000,0.000000,0.000000,0.000000,-0.00000
extract_mu000,0.37801,0.004615,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.00000
extract_mu000,0.38251,0.004775,-0.000001,-0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.38700,0.004938,-0.000003,-0.000000,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.39152,0.005106,-0.000005,-0.000001,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.39601,0.005276,-0.000007,-0.000002,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.40051,0.005450,-0.000009,-0.000003,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.40500,0.005628,-0.000007,-0.000004,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.40952,0.005810,-0.000000,-0.000003,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.41402,0.005995,0.000016,-0.000001,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.41851,0.006183,0.000044,0.000005,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.42301,0.006375,0.000087,0.000017,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.42752,0.006572,0.000140,0.000034,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.43202,0.006772,0.000188,0.000055,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.43651,0.006976,0.000199,0.000076,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.44101,0.007183,0.000120,0.000084,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.44550,0.007394,-0.000123,0.000057,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.45002,0.007611,-0.000616,-0.000033,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.45451,0.007830,-0.001426,-0.000223,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.45901,0.008052,-0.002538,-0.000542,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.46350,0.008279,-0.003764,-0.000991,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.46802,0.008512,-0.004608,-0.001503,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.47252,0.008747,-0.004133,-0.001892,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.47701,0.008985,-0.000883,-0.001794,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.48150,0.009229,0.007039,-0.000630,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.48602,0.009477,0.021537,0.002369,0.000000,0.000000,0.000000,0.00000
extract_mu000,0.49052,0.009728,0.043542,0.008013,0.000000,0.000010,0.000013,0.00015
extract_mu000,0.49501,0.009984,0.071266,0.016774,0.000000,0.000093,0.000125,0.00139
extract_mu000,0.49951,0.010243,0.097623,0.028106,0.400139,0.000176,0.000236,0.00264
extract_mu000,0.50400,0.010507,0.111217,0.039629,0.148398,0.000534,0.000699,0.00751
extract_mu000,0.50852,0.010777,0.112235,0.048953,0.023346,0.000926,0.001205,0.01284
extract_mu000,0.51302,0.011049,0.107544,0.055175,0.198543,0.001337,0.001688,0.01649
extract_mu000,0.51751,0.011325,0.101738,0.058415,0.114085,0.001758,0.002160,0.01936
extract_mu000,0.52201,0.011606,0.097446,0.059434,0.015388,0.002154,0.002656,0.02382
extract_mu000,0.52650,0.011891,0.095780,0.059042,0.174450,0.002518,0.003180,0.03024
extract_mu000,0.53102,0.012182,0.097607,0.057593,0.182063,0.002863,0.003674,0.03635
extract_mu000,0.53552,0.012476,0.103613,0.056315,0.010362,0.003138,0.004049,0.04125
extract_mu000,0.54002,0.012775,0.114018,0.055599,0.136478,0.003412,0.004423,0.04613
extract_mu000,0.54451,0.013077,0.128274,0.055998,0.220780,0.003539,0.004526,0.04530
extract_mu000,0.54901,0.013384,0.144432,0.057488,0.030722,0.003665,0.004629,0.04447
extract_mu000,0.55353,0.013697,0.157737,0.058715,0.216432,0.003859,0.004830,0.04541
extract_mu000,0.55802,0.014013,0.159385,0.059147,0.497339,0.004071,0.005056,0.04684
extract_mu000,0.56252,0.014334,0.145694,0.059717,0.064476,0.004482,0.005613,0.05330
